run,model,item_id,vqascore,custom_cv,csd,csd_provisional,judge_pass_rate,judge_axes_applicable,judge_parse_errors,harmonic,missing_components
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_011,0.9664,0.6997,,False,1.0,spatial,,0.8661,csd
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_012,0.9442,0.7016,,False,1.0,"attribute,counting",,0.861,csd
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_013,0.96,0.663,,False,1.0,"attribute,spatial",,0.8451,csd
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_014,0.9289,0.7161,,False,,,,0.8087,"csd,judge_pass_rate"
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_015,0.9271,0.7459,,False,,,,0.8267,"csd,judge_pass_rate"
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_016,0.9208,0.7092,,False,,,,0.8013,"csd,judge_pass_rate"
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_017,0.8986,0.7278,,False,,,,0.8042,"csd,judge_pass_rate"
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_018,0.9563,0.6582,,False,1.0,"counting,spatial",,0.8415,csd
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_019,0.8903,0.7279,,False,1.0,attribute,,0.8579,csd
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_020,0.9226,0.6776,,False,1.0,spatial,,0.8428,csd
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_021,0.933,0.725,,False,1.0,"counting,spatial",,0.8693,csd
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_022,0.9092,0.7255,,False,1.0,"attribute,counting",,0.8625,csd
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_023,0.9417,0.705,,False,,,,0.8063,"csd,judge_pass_rate"
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_024,0.7175,0.7228,,False,1.0,spatial,,0.7942,csd
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_025,0.9496,0.7052,,False,1.0,counting,,0.8643,csd
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_026,0.9465,0.7031,,False,,,,0.8068,"csd,judge_pass_rate"
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_027,0.9486,0.7223,,False,1.0,spatial,,0.8724,csd
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_028,0.9825,0.6769,,False,1.0,"counting,spatial",,0.8583,csd
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_029,0.9702,0.7116,,False,0.6667,"attribute,counting,spatial",,0.7622,csd
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_030,0.9673,0.7164,,False,1.0,"attribute,spatial",,0.8747,csd
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_031,0.9612,0.7086,,False,,,,0.8158,"csd,judge_pass_rate"
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_032,0.9417,0.701,,False,,,,0.8037,"csd,judge_pass_rate"
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_033,0.933,0.7274,,False,1.0,attribute,,0.8704,csd
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_034,0.933,0.7088,,False,0.0,spatial,,0.0,csd
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_035,0.9092,0.7194,,False,,,,0.8032,"csd,judge_pass_rate"
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_036,0.9408,0.7196,,False,1.0,"attribute,counting,spatial",,0.8689,csd
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_037,0.9482,0.7309,,False,,,,0.8255,"csd,judge_pass_rate"
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_038,0.9039,0.7069,,False,,,,0.7934,"csd,judge_pass_rate"
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_039,0.9039,0.7269,,False,,,,0.8058,"csd,judge_pass_rate"
v242_flux2-klein-4b-nf4,flux2-klein-4b-nf4,bench_v1_040,0.9339,0.7316,,False,1.0,spatial,,0.8727,csd
